App,Installs,Rating,Reviews,Price,Size,Genres,Category,Content Rating,Last Updated,Current Ver,Android Ver,Type,Date,Month
Wordscapes,"50,000,000+",4.6,321530.0,0.0,131M,Word,GAME_WORD,Everyone,2017-06-14,1.14.1,4.4 and up,Free,2017-06-14,6.0
Jackpot Magic Slots™: Social Casino & Slot Games,"5,000,000+",4.3,41276.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2016-07-15,12.9.4,4.1 and up,Free,2016-07-15,7.0
Match Masters,"5,000,000+",4.4,104145.0,0.0,Varies with device,Casual,GAME_CASUAL,Everyone,2017-06-08,3.406,5.0 and up,Free,2017-06-08,6.0
Idle Heroes,"10,000,000+",4.5,307401.0,0.0,391M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2016-06-22,1.26.0,5.0 and up,Free,2016-06-22,6.0
CSR Racing 2 – Free Car Racing Game,"10,000,000+",4.6,1970446.0,0.0,80M,Racing,GAME_RACING,Teen,2016-06-29,2.18.3,4.4 and up,Free,2016-06-29,6.0
King's Throne: Game of Conquest,"1,000,000+",4.2,117610.0,0.0,69M,Role Playing,GAME_ROLE_PLAYING,Mature 17+,2019-08-15,1.3.83,5.0 and up,Free,2019-08-15,8.0
Love Nikki-Dress UP Queen,"10,000,000+",4.1,225671.0,0.0,99M,Role Playing,GAME_ROLE_PLAYING,Teen,2017-04-20,6.6.0,4.3 and up,Free,2017-04-20,4.0
Hearthstone,"10,000,000+",3.7,529976.0,0.0,90M,Card,GAME_CARD,Teen,2014-12-16,20.0.77662,5.0 and up,Free,2014-12-16,12.0
Zynga Poker – Free Texas Holdem Online Card Games,"50,000,000+",4.3,743307.0,0.0,97M,Casino,GAME_CASINO,Teen,2010-12-21,22.09,4.4 and up,Free,2010-12-21,12.0
Forge of Empires: Build your City,"10,000,000+",4.3,280543.0,0.0,112M,Strategy,GAME_STRATEGY,Everyone,2015-03-24,1.200.21,4.1 and up,Free,2015-03-24,3.0
my KONAMI Slots - Casino Games & Fun Slot Machines,"5,000,000+",4.4,89989.0,0.0,135M,Casino,GAME_CASINO,Teen,2015-12-23,1.58.0,4.4 and up,Free,2015-12-23,12.0
Army Men Strike - Military Strategy Simulator,"10,000,000+",4.1,211414.0,0.0,151M,Strategy,GAME_STRATEGY,Teen,2016-12-15,3.81.0,4.2 and up,Free,2016-12-15,12.0
Magic: The Gathering Arena,"500,000+",3.4,523.0,0.0,120M,Card,GAME_CARD,Teen,2021-03-17,2021.3.22.609,6.0 and up,Free,2021-03-17,3.0
Disney Emoji Blitz,"10,000,000+",4.3,195455.0,0.0,133M,Puzzle,GAME_PUZZLE,Everyone,2016-07-13,40.1.0,4.4 and up,Free,2016-07-13,7.0
Penny & Flo: Finding Home,"5,000,000+",4.5,32996.0,0.0,142M,Puzzle,GAME_PUZZLE,Everyone,2020-11-04,1.19.0,5.0 and up,Free,2020-11-04,11.0
Puzzles & Conquest,"1,000,000+",4.2,9059.0,0.0,146M,Role Playing,GAME_ROLE_PLAYING,Teen,2019-12-22,5.0.30,4.4 and up,Free,2019-12-22,12.0
Match 3D - Matching Puzzle Game,"10,000,000+",4.3,138433.0,0.0,82M,Puzzle,GAME_PUZZLE,Everyone,2020-04-09,886,4.4 and up,Free,2020-04-09,4.0
Cooking Diary®: Best Tasty Restaurant & Cafe Game,"10,000,000+",4.6,278130.0,0.0,92M,Simulation,GAME_SIMULATION,Teen,2018-08-17,1.35.2,4.4 and up,Free,2018-08-17,8.0
Slots (Golden HoYeah) - Casino Slots,"10,000,000+",4.3,126162.0,0.0,150M,Casino,GAME_CASINO,Teen,2015-06-21,2.7.4,4.4 and up,Free,2015-06-21,6.0
FINAL FANTASY  BRAVE EXVIUS,"10,000,000+",4.2,298608.0,0.0,95M,Role Playing,GAME_ROLE_PLAYING,Teen,2016-06-29,6.1.1,5.0 and up,Free,2016-06-29,6.0
Manor Matters,"10,000,000+",4.5,78018.0,0.0,145M,Adventure,GAME_ADVENTURE,Everyone,2020-04-28,2.3.0,4.2 and up,Free,2020-04-28,4.0
Dragon City,"100,000,000+",4.6,3536365.0,0.0,130M,Simulation,GAME_SIMULATION,Everyone,2013-07-03,11.5.3,4.4 and up,Free,2013-07-03,7.0
Mobile Legends: Bang Bang,"100,000,000+",3.9,147377.0,0.0,106M,Action,GAME_ACTION,Teen,2016-10-31,1.5.64.6161,4.1 and up,Free,2016-10-31,10.0
MARVEL Future Fight,"50,000,000+",4.0,1107647.0,0.0,82M,Role Playing,GAME_ROLE_PLAYING,Teen,2015-04-29,6.9.0,4.1 and up,Free,2015-04-29,4.0
Royal Match,"1,000,000+",4.5,1754.0,0.0,156M,Puzzle,GAME_PUZZLE,Everyone,2021-02-25,3981,4.4 and up,Free,2021-02-25,2.0
Clawee™ - A Real Claw Machine & Crane Game Online,"1,000,000+",3.8,42040.0,0.0,109M,Arcade,GAME_ARCADE,Everyone,2018-08-27,5.5.1.630.0,5.0 and up,Free,2018-08-27,8.0
Guardian Tales,"1,000,000+",4.7,141094.0,0.0,123M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2020-07-27,2.12.0,4.4 and up,Free,2020-07-27,7.0
Ark of War - Dreadnought,"5,000,000+",4.2,59990.0,0.0,93M,Strategy,GAME_STRATEGY,Everyone 10+,2016-03-27,2.29.2,4.1 and up,Free,2016-03-27,3.0
Merge Mansion - The Mansion Full of Mysteries,"1,000,000+",4.4,16248.0,0.0,92M,Puzzle,GAME_PUZZLE,Everyone,2020-09-16,1.4.1,6.0 and up,Free,2020-09-16,9.0
MONOPOLY Slots Free Slot Machines & Casino Games,"5,000,000+",4.4,53040.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2018-04-17,3.0.0,4.1 and up,Free,2018-04-17,4.0
Art of War: Legions,"10,000,000+",4.5,227181.0,0.0,139M,Strategy,GAME_STRATEGY,Everyone 10+,2019-10-12,4.2.2,4.1 and up,Free,2019-10-12,10.0
Candy Crush Jelly Saga,"100,000,000+",4.6,87102.0,0.0,86M,Puzzle,GAME_PUZZLE,Everyone,2016-01-06,2.60.22,4.1 and up,Free,2016-01-06,1.0
FINAL FANTASY  BRAVE EXVIUS,"10,000,000+",4.2,298608.0,0.0,95M,Role Playing,GAME_ROLE_PLAYING,Teen,2016-06-29,6.1.1,5.0 and up,Free,2016-06-29,6.0
Mobile Legends: Adventure,"10,000,000+",4.6,261437.0,0.0,Varies with device,Role Playing,GAME_ROLE_PLAYING,Teen,2019-07-10,1.1.154,4.3 and up,Free,2019-07-10,7.0
MARVEL Puzzle Quest: Join the Super Hero Battle!,"10,000,000+",4.2,116439.0,0.0,114M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2013-08-21,224.565074,4.1 and up,Free,2013-08-21,8.0
Yalla Ludo - Ludo&Domino,"10,000,000+",4.4,89550.0,0.0,Varies with device,Board,GAME_BOARD,Teen,2018-09-20,1.2.4.2,5.0 and up,Free,2018-09-20,9.0
The Walking Dead: Road to Survival,"10,000,000+",4.1,186147.0,0.0,Varies with device,Role Playing,GAME_ROLE_PLAYING,Mature 17+,2015-08-26,29.0.4.94096,4.4 and up,Free,2015-08-26,8.0
Honkai Impact 3rd,"5,000,000+",4.3,106598.0,0.0,218M,Action,GAME_ACTION,Teen,2018-03-27,4.6.0,5.0 and up,Free,2018-03-27,3.0
Madden NFL 21 Mobile Football,"1,000,000+",4.1,34700.0,0.0,97M,Sports,GAME_SPORTS,Everyone,2020-08-04,7.3.3,5.0 and up,Free,2020-08-04,8.0
Vikings: War of Clans,"10,000,000+",4.4,268494.0,0.0,Varies with device,Strategy,GAME_STRATEGY,Teen,2015-08-10,Varies with device,4.1 and up,Free,2015-08-10,8.0
GSN Casino: New Slots and Casino Games,"10,000,000+",4.3,86986.0,0.0,73M,Casino,GAME_CASINO,Teen,2011-12-20,4.22.2,4.1 and up,Free,2011-12-20,12.0
Bud Farm: Idle Tycoon - Build Your Weed Farm,"1,000,000+",4.6,26988.0,0.0,44M,Simulation,GAME_SIMULATION,Mature 17+,2019-03-26,1.7.1,4.4 and up,Free,2019-03-26,3.0
Mario Kart Tour,"50,000,000+",4.1,866100.0,0.0,129M,Action,GAME_ACTION,Everyone,2019-09-24,2.8.1,4.4 and up,Free,2019-09-24,9.0
Spades Royale - Best Online Spades Card Games App,"1,000,000+",4.6,77474.0,0.0,88M,Card,GAME_CARD,Teen,2018-01-03,1.41.30,5.0 and up,Free,2018-01-03,1.0
Azur Lane,"1,000,000+",4.4,40624.0,0.0,68M,Action,GAME_ACTION,Teen,2018-08-16,5.1.6,4.4 and up,Free,2018-08-16,8.0
Legend of the Phoenix,"1,000,000+",4.1,2987.0,0.0,79M,Strategy,GAME_STRATEGY,Everyone 10+,2020-04-27,2.1.0,4.1 and up,Free,2020-04-27,4.0
انتقام السلاطين,"10,000,000+",4.0,145398.0,0.0,85M,Strategy,GAME_STRATEGY,Teen,2015-09-11,1.15.7,4.2 and up,Free,2015-09-11,9.0
Brawl Stars,"100,000,000+",4.3,9605687.0,0.0,143M,Action,GAME_ACTION,Everyone 10+,2018-12-12,34.151,4.3 and up,Free,2018-12-12,12.0
Vegas Live Slots : Free Casino Slot Machine Games,"1,000,000+",4.5,18842.0,0.0,126M,Casino,GAME_CASINO,Teen,2017-11-15,1.2.84,4.1 and up,Free,2017-11-15,11.0
SimCity BuildIt,"100,000,000+",4.3,1741984.0,0.0,138M,Simulation,GAME_SIMULATION,Everyone 10+,2014-12-15,1.37.0.98220,4.1 and up,Free,2014-12-15,12.0
Grand Hotel Mania – Hotel Adventure Game,"5,000,000+",4.3,33131.0,0.0,Varies with device,Adventure,GAME_ADVENTURE,Everyone,2020-07-31,1.10.1.4,4.4 and up,Free,2020-07-31,7.0
Covet Fashion - Dress Up Game,"10,000,000+",4.0,298378.0,0.0,106M,Casual,GAME_CASUAL,Everyone,2013-10-25,21.01.100,4.4 and up,Free,2013-10-25,10.0
WWE SuperCard - Multiplayer Collector Card Game,"10,000,000+",4.3,218719.0,0.0,97M,Sports,GAME_SPORTS,Teen,2014-08-13,4.5.0.5862659,5.0 and up,Free,2014-08-13,8.0
Spades Plus - Card Game,"10,000,000+",4.5,90865.0,0.0,92M,Card,GAME_CARD,Teen,2014-07-24,5.10.0,4.4 and up,Free,2014-07-24,7.0
Bubble Shooter: Panda Pop!,"50,000,000+",4.6,354330.0,0.0,124M,Puzzle,GAME_PUZZLE,Everyone,2014-01-09,10.0.500,4.4 and up,Free,2014-01-09,1.0
Bingo Party - Free Classic Bingo Games Online,"5,000,000+",4.6,70912.0,0.0,105M,Board,GAME_BOARD,Teen,2017-05-08,2.4.8,4.1 and up,Free,2017-05-08,5.0
Looney Tunes™ World of Mayhem - Action RPG,"10,000,000+",4.3,99076.0,0.0,177M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2018-12-12,26.0.0,5.0 and up,Free,2018-12-12,12.0
Grand Summoners - Anime Action RPG,"1,000,000+",3.9,20644.0,0.0,91M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2018-02-07,3.10.1,4.4 and up,Free,2018-02-07,2.0
Clash Royale,"100,000,000+",4.2,13754267.0,0.0,133M,Strategy,GAME_STRATEGY,Everyone 10+,2016-03-01,3.5.0,4.1 and up,Free,2016-03-01,3.0
Dragalia Lost,"1,000,000+",4.3,35585.0,0.0,151M,Role Playing,GAME_ROLE_PLAYING,Teen,2018-09-26,2.6.0,4.4 and up,Free,2018-09-26,9.0
Seekers Notes: Hidden Mystery,"10,000,000+",4.3,194911.0,0.0,356M,Adventure,GAME_ADVENTURE,Everyone,2015-12-08,2.9.1,4.4 and up,Free,2015-12-08,12.0
Ulala: Idle Adventure,"1,000,000+",4.4,48741.0,0.0,84M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2019-09-11,1.89,4.4 and up,Free,2019-09-11,9.0
Jurassic World Alive,"10,000,000+",4.4,228997.0,0.0,512M,Adventure,GAME_ADVENTURE,Teen,2018-05-29,2.6.30,5.1 and up,Free,2018-05-29,5.0
Willy Wonka Slots Free Casino,"1,000,000+",4.6,51299.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2016-03-30,110.0.982,4.1 and up,Free,2016-03-30,3.0
Time Princess,"1,000,000+",4.7,71702.0,0.0,61M,Role Playing,GAME_ROLE_PLAYING,Everyone,2020-08-27,1.0.56,5.0 and up,Free,2020-08-27,8.0
88 Fortunes Casino Games & Free Slot Machine Games,"1,000,000+",4.7,49655.0,0.0,111M,Casino,GAME_CASINO,Teen,2017-03-22,4.0.04,4.1 and up,Free,2017-03-22,3.0
Bingo Journey - Lucky & Fun Casino Bingo Games,"1,000,000+",4.5,39477.0,0.0,119M,Casino,GAME_CASINO,Teen,2018-12-14,1.4.2,4.1 and up,Free,2018-12-14,12.0
Infinity Kingdom,"1,000,000+",4.6,5816.0,0.0,96M,Strategy,GAME_STRATEGY,Everyone 10+,2021-01-27,1.1.0,4.2 and up,Free,2021-01-27,1.0
Jackpot Slot Machines - Slots Era™ Vegas Casino,"5,000,000+",4.6,182742.0,0.0,118M,Casino,GAME_CASINO,Teen,2016-11-05,1.71.0,4.4 and up,Free,2016-11-05,11.0
Dragon Raja,"1,000,000+",4.2,55778.0,0.0,66M,Role Playing,GAME_ROLE_PLAYING,Teen,2020-02-27,1.0.124,5.0 and up,Free,2020-02-27,2.0
Words With Friends 2 - Board Games & Word Puzzles,"10,000,000+",3.9,157639.0,0.0,88M,Word,GAME_WORD,Everyone,2017-11-07,15.920,6.0 and up,Free,2017-11-07,11.0
Chief Almighty: First Thunder BC,"5,000,000+",4.5,18449.0,0.0,95M,Strategy,GAME_STRATEGY,Teen,2017-11-02,1.2.220,4.1 and up,Free,2017-11-02,11.0
Bloons TD 6,"1,000,000+",4.8,89676.0,4.99,71M,Strategy,GAME_STRATEGY,Everyone,2018-06-13,24.2,5.0 and up,Paid,2018-06-13,6.0
Geometry Dash,"1,000,000+",4.6,351288.0,1.99,85M,Arcade,GAME_ARCADE,Everyone,2013-08-12,2.111,4.0 and up,Paid,2013-08-12,8.0
Monopoly - Board game classic about real-estate!,"1,000,000+",4.3,25403.0,3.99,52M,Board,GAME_BOARD,Everyone,2019-12-04,1.4.8,5.0 and up,Paid,2019-12-04,12.0
Stardew Valley,"1,000,000+",4.7,36871.0,4.99,80M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2019-03-13,1.4.5.151,4.4 and up,Paid,2019-03-13,3.0
Terraria,"1,000,000+",4.6,164956.0,4.99,161M,Adventure,GAME_ADVENTURE,Teen,2013-09-25,1.4.0.5.2.1,4.4 and up,Paid,2013-09-25,9.0
Five Nights at Freddy's,"1,000,000+",4.7,56511.0,2.99,107M,Action,GAME_ACTION,Teen,2014-08-24,2.0.2,5.0 and up,Paid,2014-08-24,8.0
Ultimate Custom Night,"100,000+",4.6,7748.0,2.99,151M,Action,GAME_ACTION,Teen,2020-04-24,1.0.3,6.0 and up,Paid,2020-04-24,4.0
Grand Theft Auto: San Andreas,"1,000,000+",4.5,272882.0,6.99,15M,Action,GAME_ACTION,Mature 17+,2013-12-19,2.00,7.0 and up,Paid,2013-12-19,12.0
Dungeon Village 2,"10,000+",4.8,4021.0,6.99,48M,Simulation,GAME_SIMULATION,Everyone 10+,2021-03-09,1.2.1,4.4 and up,Paid,2021-03-09,3.0
LIMBO,"1,000,000+",4.5,2983.0,0.99,28M,Adventure,GAME_ADVENTURE,Teen,2015-02-11,1.20,4.4 and up,Paid,2015-02-11,2.0
Very Little Nightmares,"50,000+",4.8,2309.0,2.99,45M,Adventure,GAME_ADVENTURE,Everyone 10+,2019-12-10,1.2.0,5.0 and up,Paid,2019-12-10,12.0
"THE GAME OF LIFE 2 - More choices, more freedom!","100,000+",4.4,2404.0,3.99,358M,Board,GAME_BOARD,Everyone,2020-07-15,0.0.34,6.0 and up,Paid,2020-07-15,7.0
Five Nights at Freddy's 2,"1,000,000+",4.6,39190.0,2.99,107M,Strategy,GAME_STRATEGY,Teen,2014-11-12,2.0.3,5.0 and up,Paid,2014-11-12,11.0
Human: Fall Flat,"100,000+",4.3,10659.0,4.99,42M,Puzzle,GAME_PUZZLE,Everyone,2019-06-25,1.5,5.0 and up,Paid,2019-06-25,6.0
Five Nights at Freddy's: SL,"500,000+",4.4,9102.0,2.99,3.6M,Action,GAME_ACTION,Teen,2016-12-22,2.0.1,5.0 and up,Paid,2016-12-22,12.0
DraStic DS Emulator,"1,000,000+",4.5,39847.0,4.99,15M,Action,GAME_ACTION,Everyone,2013-08-07,r2.5.2.2a,4.1 and up,Paid,2013-08-07,8.0
Five Nights at Freddy's 4,"100,000+",4.6,12758.0,2.99,56M,Action,GAME_ACTION,Teen,2015-07-25,2.0,5.0 and up,Paid,2015-07-25,7.0
The Room,"1,000,000+",4.8,97788.0,0.99,Varies with device,Puzzle,GAME_PUZZLE,Everyone,2013-04-05,Varies with device,2.3 and up,Paid,2013-04-05,4.0
FNaF 6: Pizzeria Simulator,"100,000+",4.6,6386.0,2.99,149M,Simulation,GAME_SIMULATION,Teen,2019-08-13,1.0.4,5.0 and up,Paid,2019-08-13,8.0
Muse Dash,"100,000+",4.7,12782.0,0.99,76M,Music,GAME_MUSIC,Teen,2018-06-15,1.4.2,4.1 and up,Paid,2018-06-15,6.0
Slay the Spire,"50,000+",4.5,1738.0,9.99,24M,Card,GAME_CARD,Everyone 10+,2021-01-22,2.2.6,5.1 and up,Paid,2021-01-22,1.0
Grand Theft Auto: Vice City,"1,000,000+",4.3,66604.0,4.99,7.3M,Arcade,GAME_ARCADE,Mature 17+,2012-12-06,1.09,7.0 and up,Paid,2012-12-06,12.0
My Boy! - GBA Emulator,"1,000,000+",4.6,11858.0,4.99,Varies with device,Arcade,GAME_ARCADE,Everyone,2012-08-12,Varies with device,Varies with device,Paid,2012-08-12,8.0
Bloons TD 5,"1,000,000+",4.6,63278.0,2.99,96M,Strategy,GAME_STRATEGY,Everyone,2012-12-14,3.30,4.4 and up,Paid,2012-12-14,12.0
Classic Solitaire Tycoon,"1,000+",0.0,0.0,1.0,22M,Casual,GAME_CASUAL,Everyone,2021-03-24,1.0,4.4 and up,Paid,2021-03-24,3.0
True Skate,"5,000,000+",4.4,61491.0,1.99,99M,Sports,GAME_SPORTS,Everyone,2013-07-19,1.5.31,4.1 and up,Paid,2013-07-19,7.0
Hitman Sniper,"10,000,000+",4.4,333718.0,0.99,48M,Action,GAME_ACTION,Mature 17+,2015-06-03,1.7.193827,4.1 and up,Paid,2015-06-03,6.0
Incredibox,"100,000+",4.8,10846.0,4.99,126M,Music,GAME_MUSIC,Everyone,2017-12-14,0.5.2,5.1 and up,Paid,2017-12-14,12.0
Call of Duty:Black Ops Zombies,"100,000+",3.8,10923.0,6.99,46M,Action,GAME_ACTION,Teen,2015-12-23,1.0.11,2.3.3 and up,Paid,2015-12-23,12.0
The Game of Life,"500,000+",4.2,14440.0,2.99,67M,Board,GAME_BOARD,Everyone,2016-07-14,2.2.7,4.4 and up,Paid,2016-07-14,7.0
Dead Cells,"100,000+",4.6,1431.0,4.99,898M,Action,GAME_ACTION,Teen,2020-06-02,1.70.5,7.0 and up,Paid,2020-06-02,6.0
Five Nights at Freddy's: HW,"10,000+",3.6,1950.0,4.99,Varies with device,Action,GAME_ACTION,Teen,2020-10-26,1.0,7.0 and up,Paid,2020-10-26,10.0
Exploding Kittens® - Official,"500,000+",4.6,7838.0,1.99,46M,Card,GAME_CARD,Everyone 10+,2016-03-29,4.0.2,4.1 and up,Paid,2016-03-29,3.0
Five Nights at Freddy's 3,"100,000+",4.5,13243.0,2.99,61M,Action,GAME_ACTION,Teen,2015-03-06,2.0,5.0 and up,Paid,2015-03-06,3.0
RFS - Real Flight Simulator,"1,000,000+",4.3,49540.0,0.99,60M,Simulation,GAME_SIMULATION,Everyone,2019-07-23,1.3.0,4.3 and up,Paid,2019-07-23,7.0
Clue,"500,000+",4.5,13162.0,3.99,44M,Board,GAME_BOARD,Everyone 10+,2017-03-10,2.7.11,5.0 and up,Paid,2017-03-10,3.0
Scribblenauts Remix,"1,000,000+",3.7,37947.0,0.99,41M,Puzzle,GAME_PUZZLE,Everyone 10+,2013-06-18,6.9,2.3.3 and up,Paid,2013-06-18,6.0
Farming Simulator 20,"100,000+",4.1,15667.0,6.99,633M,Simulation,GAME_SIMULATION,Everyone,2019-12-03,0.0.0.75 - Google,7.0 and up,Paid,2019-12-03,12.0
Assassin's Creed Identity,"1,000,000+",3.7,38731.0,1.99,69M,Action,GAME_ACTION,Teen,2016-05-18,2.8.3_007,4.1 and up,Paid,2016-05-18,5.0
A Dance of Fire and Ice,"100,000+",4.5,5547.0,1.99,139M,Music,GAME_MUSIC,Everyone,2014-10-04,1.12.0,4.4 and up,Paid,2014-10-04,10.0
ePSXe for Android,"1,000,000+",4.7,18434.0,3.75,11M,Arcade,GAME_ARCADE,Everyone,2012-08-29,2.0.14,2.3 and up,Paid,2012-08-29,8.0
Papa's Mocharia To Go!,"5,000+",4.7,162.0,1.99,Varies with device,Strategy,GAME_STRATEGY,Everyone,2021-03-01,1.0.2,Varies with device,Paid,2021-03-01,3.0
Pirates Outlaws,"500,000+",4.5,8197.0,0.99,113M,Card,GAME_CARD,Everyone,2019-03-05,3.30,5.0 and up,Paid,2019-03-05,3.0
Scribblenauts Unlimited,"100,000+",4.4,10339.0,4.99,5.9M,Puzzle,GAME_PUZZLE,Everyone 10+,2015-12-15,1.27,4.4 and up,Paid,2015-12-15,12.0
Bendy and the Ink Machine,"100,000+",4.4,7541.0,6.99,56M,Adventure,GAME_ADVENTURE,Teen,2018-12-20,1.0.829,6.0 and up,Paid,2018-12-20,12.0
Angry Knife,10+,0.0,0.0,5.0,17M,Arcade,GAME_ARCADE,Everyone,2021-02-27,1.0,5.0 and up,Paid,2021-02-27,2.0
60 Seconds! Atomic Adventure,"500,000+",4.1,9046.0,3.99,30M,Adventure,GAME_ADVENTURE,Teen,2017-12-21,1.3.121,4.1 and up,Paid,2017-12-21,12.0
Rusted Warfare - RTS Strategy,"100,000+",4.7,5318.0,1.99,24M,Strategy,GAME_STRATEGY,Everyone,2011-12-31,1.14.h3,2.2 and up,Paid,2011-12-31,12.0
NBA 2K20,"100,000+",3.9,18330.0,5.99,Varies with device,Sports,GAME_SPORTS,Everyone,2019-09-04,Varies with device,4.3 and up,Paid,2019-09-04,9.0
RollerCoaster Tycoon® Classic,"100,000+",4.6,538.0,5.99,65M,Simulation,GAME_SIMULATION,Everyone,2019-03-07,1.0.0.1903060,4.0.3 and up,Paid,2019-03-07,3.0
Grand Theft Auto III,"1,000,000+",4.3,54419.0,4.99,12M,Action,GAME_ACTION,Mature 17+,2011-12-14,1.8,7.0 and up,Paid,2011-12-14,12.0
Forager,"10,000+",4.4,810.0,7.99,129M,Adventure,GAME_ADVENTURE,Everyone 10+,2020-11-24,1.0.13,4.1 and up,Paid,2020-11-24,11.0
Papa's Freezeria To Go!,"500,000+",4.5,5223.0,0.99,Varies with device,Strategy,GAME_STRATEGY,Everyone,2014-02-26,1.2.1,4.0 and up,Paid,2014-02-26,2.0
There Is No Game: Wrong Dimension,"5,000+",4.8,353.0,4.99,40M,Puzzle,GAME_PUZZLE,Everyone,2020-12-17,1.0.27,5.1 and up,Paid,2020-12-17,12.0
FINAL FANTASY VIII Remastered,"5,000+",3.8,201.0,20.99,73M,Role Playing,GAME_ROLE_PLAYING,Teen,2021-03-16,1.0.0 (210309),6.0 and up,Paid,2021-03-16,3.0
Bridge Constructor Portal,"100,000+",4.4,4290.0,1.99,88M,Puzzle,GAME_PUZZLE,Everyone 10+,2017-12-20,5.2,4.4 and up,Paid,2017-12-20,12.0
Don Matón,"10,000+",4.0,419.0,1.49,150M,Action,GAME_ACTION,Teen,2021-01-03,1.1.1,6.0 and up,Paid,2021-01-03,1.0
Game Dev Tycoon,"500,000+",4.8,10449.0,4.99,52M,Simulation,GAME_SIMULATION,Everyone,2018-01-31,1.6.3,4.1 and up,Paid,2018-01-31,1.0
Kingdom Rush Frontiers - Tower Defense Game,"1,000,000+",4.8,39737.0,1.99,Varies with device,Strategy,GAME_STRATEGY,Everyone 10+,2013-09-25,4.2.32,Varies with device,Paid,2013-09-25,9.0
The Room Two,"1,000,000+",4.9,85823.0,1.99,28M,Puzzle,GAME_PUZZLE,Everyone,2014-02-13,1.10,4.1 and up,Paid,2014-02-13,2.0
My OldBoy! - GBC Emulator,"100,000+",4.7,1578.0,3.99,Varies with device,Arcade,GAME_ARCADE,Everyone,2014-03-03,Varies with device,Varies with device,Paid,2014-03-03,3.0
Infinite Flight - Flight Simulator,"500,000+",3.8,36230.0,0.99,77M,Simulation,GAME_SIMULATION,Everyone,2013-07-07,20.03.04,6.0 and up,Paid,2013-07-07,7.0
Need for Speed Most Wanted,"1,000,000+",3.9,16101.0,4.99,19M,Racing,GAME_RACING,Everyone 10+,2012-10-29,1.3.128,4.1 and up,Paid,2012-10-29,10.0
Goat Simulator,"1,000,000+",4.3,40840.0,4.99,16M,Simulation,GAME_SIMULATION,Everyone 10+,2014-09-16,1.4.18,4.0.3 and up,Paid,2014-09-16,9.0
Bully: Anniversary Edition,"100,000+",4.4,17148.0,6.99,11M,Action,GAME_ACTION,Teen,2016-12-07,1.0.0.18,8.0 and up,Paid,2016-12-07,12.0
Iron Marines: RTS Offline Real Time Strategy Game,"500,000+",4.6,3774.0,2.99,49M,Strategy,GAME_STRATEGY,Everyone 10+,2017-09-13,1.6.6,5.0 and up,Paid,2017-09-13,9.0
The Room: Old Sins,"100,000+",4.9,32978.0,4.99,34M,Puzzle,GAME_PUZZLE,Everyone,2018-04-18,1.0.2,4.4 and up,Paid,2018-04-18,4.0
LEGO ® Marvel Super Heroes,"100,000+",4.0,9382.0,4.99,6.6M,Action,GAME_ACTION,Everyone 10+,2015-03-11,2.0.1.17,5.0 and up,Paid,2015-03-11,3.0
CHRONO TRIGGER (Upgrade Ver.),"100,000+",4.5,6430.0,9.99,14M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2012-10-28,2.0.5,4.2 and up,Paid,2012-10-28,10.0
Monument Valley,"1,000,000+",4.8,70093.0,3.99,36M,Puzzle,GAME_PUZZLE,Everyone,2014-05-14,2.7.17,4.1 and up,Paid,2014-05-14,5.0
The House of Da Vinci 2,"50,000+",4.8,4916.0,4.99,35M,Puzzle,GAME_PUZZLE,Everyone,2020-02-18,1.0.4,6.0 and up,Paid,2020-02-18,2.0
The Room Three,"500,000+",4.9,44220.0,3.99,31M,Puzzle,GAME_PUZZLE,Everyone,2016-01-11,1.06,4.1 and up,Paid,2016-01-11,1.0
Doctor Who: The Lonely Assassins,"10,000+",4.6,555.0,3.99,51M,Puzzle,GAME_PUZZLE,Teen,2021-03-18,1.812.125,5.0 and up,Paid,2021-03-18,3.0
LEGO® Jurassic World™,"100,000+",4.1,10694.0,4.99,7.7M,Adventure,GAME_ADVENTURE,Everyone 10+,2016-03-30,2.0.1.18,5.0 and up,Paid,2016-03-30,3.0
Pocket City,"500,000+",4.4,4040.0,2.99,28M,Simulation,GAME_SIMULATION,Everyone,2018-07-30,1.1.355,4.4 and up,Paid,2018-07-30,7.0
Lowriders Comeback 2: Cruising,"10,000+",3.7,952.0,1.99,63M,Music,GAME_MUSIC,Everyone,2016-11-06,3.3.3,4.4 and up,Paid,2016-11-06,11.0
Bad North: Jotunn Edition,"100,000+",4.4,2165.0,5.49,45M,Strategy,GAME_STRATEGY,Teen,2019-10-16,2.00.18,8.0 and up,Paid,2019-10-16,10.0
Trivia Crack (No Ads),"500,000+",4.6,23884.0,1.99,121M,Trivia,GAME_TRIVIA,Everyone,2013-10-24,3.109.3,5.0 and up,Paid,2013-10-24,10.0
